streamline	FA	MD	RD
1	0.4739239812	0.0008443683037	0.0006028232747
2	0.4160107374	0.0008227195358	0.0006298227236
3	0.3768298924	0.0008311712882	0.000655119482
4	0.3602295816	0.0008595550316	0.0006917687715
5	0.3719401062	0.000836715044	0.0006663203239
6	0.4185263515	0.0008549222839	0.0006521417527
7	0.4142763913	0.0008406994166	0.0006386684254
8	0.4246834815	0.0008574917447	0.0006415032549
9	0.441195786	0.0008074803045	0.0006116137374
10	0.460630089	0.0008711057599	0.00061955821
11	0.4539869726	0.0008376751211	0.0006088768132
12	0.3828779459	0.0008594415267	0.0006756225484
13	0.3984600604	0.0008577454719	0.0006690790178
14	0.3780937791	0.0008410269511	0.0006673012394
15	0.3692632616	0.0008318279288	0.0006607988616
16	0.4159753621	0.0009314501658	0.0007084146491
17	0.3743050694	0.0008637132123	0.0006827291218
18	0.3978762329	0.0008577206172	0.0006593216094
19	0.3855750263	0.0008502271958	0.0006688970025
20	0.4558957219	0.0008104033768	0.0005780950305
21	0.3673609495	0.0008304791409	0.0006661564694
22	0.4692897499	0.0008362628869	0.0006011385703
23	0.4229521155	0.0008458135999	0.0006483105244
24	0.4020593166	0.0008469947497	0.0006584639777
25	0.4544655085	0.0008371006115	0.0006129664253
26	0.4721446633	0.0008264310891	0.0005809586728
27	0.3807932734	0.0008692744887	0.0006860849098
28	0.4182381332	0.0008444091654	0.0006411213544
29	0.3577736914	0.0008509114268	0.0006877921987
30	0.3783694506	0.000877751736	0.0006917737774
31	0.388325274	0.0008534425288	0.0006684499094
32	0.3695614934	0.000872985227	0.0007046953542
33	0.4361559153	0.0008401506348	0.0006273936597
34	0.4410347641	0.0008321183268	0.0006254175678
35	0.4683634937	0.0008644774789	0.0006096734433
36	0.4122210443	0.0008456849027	0.0006505338242
37	0.4407535791	0.0008496160153	0.0006262746756
38	0.4170628488	0.0008341855719	0.0006389316404
39	0.4699370563	0.0008419731748	0.0005939938128
40	0.3951056898	0.0008445428102	0.0006680533988
41	0.4182701111	0.0008252913831	0.0006290600286
42	0.4575459361	0.0008352663135	0.0006072669639
43	0.4281986058	0.0008322630893	0.0006304386188
44	0.4230111241	0.0008437758079	0.0006424123421
45	0.4045489132	0.0008496476803	0.0006572541897
46	0.4509513974	0.0008299881592	0.0006074988632
47	0.4417990446	0.0008373484015	0.0006163524231
48	0.4691022336	0.0009415711393	0.0006720229285
49	0.411771059	0.0008614223334	0.0006565186195
50	0.4452429414	0.0008420074009	0.0006120946491
51	0.3657073081	0.0008452680195	0.0006785225705
52	0.3906688392	0.0008303069044	0.0006507694488
53	0.366422683	0.0008336378378	0.0006741744583
54	0.4010700285	0.0008464456769	0.0006621475914
55	0.3970649838	0.0008669826202	0.0006702702958
56	0.3868813515	0.0008809740539	0.0006944733905
57	0.4442676008	0.0008270666585	0.0006140671903
58	0.350672245	0.0008569775382	0.0006950468523
59	0.4313034415	0.0008336284664	0.0006196574541
60	0.3514466584	0.0008419367368	0.0006828808109
61	0.4298926592	0.0008296620799	0.0006143859937
62	0.4718409479	0.0008382683736	0.0006006191834
63	0.4481250942	0.0008201161982	0.0006016974803
64	0.4346090853	0.0008262309711	0.0006234199391
65	0.5025451183	0.000830654928	0.0005695655709
66	0.4367377162	0.0007961220108	0.0005879248492
67	0.5274486542	0.0008322345675	0.0005570086068
68	0.3799201548	0.0008162343292	0.0006502517499
69	0.3846026957	0.0008615251863	0.0006765429862
70	0.400454849	0.0008462068508	0.00065241626
71	0.4326654077	0.0008957976243	0.0006646272377
72	0.505476892	0.0008630123339	0.0005828682333
73	0.473621875	0.0008745565428	0.0006284468109
